county,investment_window,project,year_of_completion,programme,funding_source,brief,category,investment_class,investment_type/water_supply,investment_type/sanitation,investment_type/water_resources,investment_exists_group/other_data/completed,investment_exists_group/other_data/date_completed,investment_exists_group/investment/branded,investment_exists_group/investment/branding_condition,investment_exists_group/sustainability/operational_status,sustainability/investment_needs_major_repair,investment_exists_group/sustainability/reliability,investment_exists_group/sustainability/condition_of_facility,investment_exists_group/sustainability/quality_of_work,investment_exists_group/sustainability/revenue_collected,sustainability/operations_responsibility,impact_and_gesi/operations_responsibility_GESI,impact_and_gesi/Number_of_people_beneficiaries_inc_children,investment_exists_group/impact_and_gesi/facility_hygiene_level,impact_and_gesi/functional_handwashing_facility,investment_exists_group/impact_and_gesi/water_quantity,investment_exists_group/impact_and_gesi/water_quality,investment_exists_group/impact_and_gesi/service_reliability,impact_and_gesi/service_reliability_hours_per_day,impact_and_gesi/service_reliability_days_per_month,impact_and_gesi/service_reliability_months_per_year,impact_and_gesi/facility_provisional_to/Disability,impact_and_gesi/facility_provisional_to/Gender,impact_and_gesi/facility_provisional_to/Age,investment_exists_group/Facility_picture,_GPS_location_latitude,_GPS_location_longitude,_GPS_location_altitude,_GPS_location_precision
Garissa,RIP,Jaribu Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,1157,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786103?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548653615193.jpg,-0.447688333,39.63940833,152.1,3.1
Garissa,RIP,Kazuko Girls Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,yes,n/a,Fair,Good,n/a,n/a,n/a,300,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786191?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548655111833.jpg,-0.448016667,39.636745,116.1,5
Garissa,RIP,Hyuga Girls Primary School,2014/2015,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,520,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786352?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548656656677.jpg,-0.44206643,39.63751724,120.0133667,4.288
Garissa,RIP,ADC Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,600,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786435?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548658620946.jpg,-0.42210649,39.63674084,130.144104,5.36
Garissa,RIP,Tumaini Primary School,2014/2015,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,no,n/a,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,611,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786525?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548660771479.jpg,-0.42300918,39.64440137,128.5489502,5.36
Garissa,RIP,Garissa School for the Deaf,2014/2015,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,no,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,160,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786560?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548664454656.jpg,-0.445243333,39.66098833,151.2,6
Garissa,RIP,Bula College Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,309,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786707?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548665621223.jpg,-0.44909,39.66508333,102,5.4
Garissa,RIP,Bulla Mzuri Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Non_operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,280,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786841?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548668055588.jpg,-0.461616667,39.67432333,130.6,5.6
Garissa,RIP,Najah Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,352,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10786901?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548675201666.jpg,-0.483393333,39.65328,145.7,5.4
Garissa,RIP,Al-Fatah Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Good,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,345,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10787029?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548678808072.jpg,-0.48402387,39.66576356,128.0014038,4.288
Garissa,RIP,Sambul Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41974,yes,Fair,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,550,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10787170?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548680554200.jpg,-0.46928684,39.6412332,127.4683228,3.216
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,pipeline,n/a,n/a,n/a,yes,42736,no,n/a,Non_operational,yes,Rare_or_Not,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789022?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548660224948.jpg,1.083493333,36.68496167,1946.5,5.7
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,pipeline,n/a,n/a,n/a,yes,42736,no,n/a,Non_operational,yes,Rare_or_Not,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789023?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548665572891.jpg,1.103335,36.68365167,2109.1,5.9
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,pipeline,n/a,n/a,n/a,yes,42736,no,n/a,Non_operational,yes,Rare_or_Not,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789039?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548661080084.jpg,1.091366667,36.68454667,2012.7,5.5
Kiambu,UIP,Kiambu Municipality Public San Project,2013/2014,UPC,KfW,"1 PSF, 1 Septic tank",sanitation,psf,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,41640,yes,Good,Operational,no,n/a,Good,Good,yes,Group,Youth,85,Good,yes,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10789043?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548701681805.jpg,-1.171749705,36.83135843,1682,6
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42736,no,n/a,Non_operational,yes,Rare_or_Not,Fair,Fair,no,Committee,Women,0,n/a,n/a,Permanently_dry,unknown,Days_per_Month,n/a,0_7,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10789046?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548669490390.jpg,1.104751667,36.68878833,1943.8,5.3
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,42736,no,n/a,Non_operational,yes,Rare_or_Not,Fair,Fair,no,Committee,Women,0,n/a,n/a,Permanently_dry,unknown,Days_per_Month,n/a,0_7,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10789048?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548669976856.jpg,1.105186667,36.69148,1949.8,5.8
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42736,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789073?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548661824537.jpg,1.09365,36.68463333,2022.7,6
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,individual_connection,n/a,n/a,yes,41699,n/a,n/a,Operational,no,Seasonal,Good,Good,n/a,n/a,n/a,8,n/a,n/a,Shortages,Good,Days_per_Month,n/a,8_16,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789082?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548668106752.jpg,-1.169953966,36.81641358,1716,6
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42736,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789084?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548662231672.jpg,1.093343333,36.68354833,2021.5,5.6
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42736,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789098?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548662911543.jpg,1.088631667,36.68162333,1984.7,4.3
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42736,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789105?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548663042789.jpg,1.088411667,36.68155667,1974,5.3
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,yard_tap,n/a,n/a,yes,41699,no,n/a,Non_operational,no,Rare_or_Not,Poor,Fair,n/a,n/a,n/a,0,n/a,n/a,Permanently_dry,unknown,Months_per_Year,n/a,n/a,0_3,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10789108?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548666072474.jpg,-1.16993628,36.81491883,1725,6
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42736,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789110?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548663699460.jpg,1.089268333,36.68201167,1993.5,4.5
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42736,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789116?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548664089285.jpg,1.087966667,36.68236667,1995.9,3.9
Samburu,UIP,Milimani-Lporos Area Water Project,2017/2018,UPC,KfW,"7 Kiosks, 9,442 M pipe, 100  Consumer Meters",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42736,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789127?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548664546406.jpg,1.089255,36.68421833,1986.3,5.5
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,pump_energy_source,electricity_mains,n/a,n/a,yes,41640,no,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Months_per_Year,n/a,n/a,0_3,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789136?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548662627381.jpg,-1.171245156,36.82329822,1707,6
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,individual_connection,n/a,n/a,yes,41699,n/a,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,13,n/a,n/a,Shortages,Good,Days_per_Month,n/a,8_16,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789151?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548667313095.jpg,-1.170647736,36.81596003,1721,6
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,yard_tap,n/a,n/a,yes,41699,no,n/a,Operational,no,Regular,Good,Fair,n/a,n/a,n/a,30,n/a,n/a,Enough,Good,Hours_per_Day,06_12,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10789156?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548664354727.jpg,-1.170974714,36.82048081,1704,6
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,individual_connection,n/a,n/a,yes,43405,n/a,n/a,Operational,no,Seasonal,Good,Good,n/a,n/a,n/a,10,n/a,n/a,Shortages,Good,Days_per_Month,n/a,8_16,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789168?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548667788149.jpg,-1.170240543,36.8162767,1721,6
Kiambu,UIP,Riabai And Kihingo Water Project,2013/2014,UPC,KfW,"1 Kiosk, 1 Tank, 150 Consumer Meters",water_supply,distribution_system,individual_connection,n/a,n/a,yes,41640,n/a,n/a,Operational,no,Seasonal,Good,Good,n/a,n/a,n/a,24,n/a,n/a,Shortages,Good,Hours_per_Day,0-6,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789211?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548672283778.jpg,-1.158176218,36.84068103,1711,8
Kiambu,UIP,Riabai And Kihingo Water Project,2013/2014,UPC,KfW,"1 Kiosk, 1 Tank, 150 Consumer Meters",water_supply,distribution_system,individual_connection,n/a,n/a,yes,41640,n/a,n/a,Operational,yes,Seasonal,Good,Good,n/a,n/a,n/a,30,n/a,n/a,Shortages,Good,Hours_per_Day,06_12,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789221?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548674533480.jpg,-1.154222852,36.81654559,1775,6
Kiambu,UIP,Riabai And Kihingo Water Project,2013/2014,UPC,KfW,"1 Kiosk, 1 Tank, 150 Consumer Meters",water_supply,pipeline,n/a,n/a,n/a,yes,41699,no,n/a,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789228?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548670791975.jpg,-1.162515655,36.84468255,1673,6
Kiambu,UIP,Riabai And Kihingo Water Project,2013/2014,UPC,KfW,"1 Kiosk, 1 Tank, 150 Consumer Meters",water_supply,pump_energy_source,electricity_mains,n/a,n/a,yes,41699,no,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Hours_per_Day,0-6,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789235?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548671631140.jpg,-1.159321438,36.84161721,1699,6
Tana River,WRI,Al-Amin Moju,2015/2016,MTAP II,Danida,"Scmp Review.Planting 5,000 Trees.Construction Of 2 Sand  Dams At Boka Ben and Lagha Dele.Carry Out Exchange Tour T O Mau",water_resources,catchment_management,n/a,n/a,n/a,yes,42614,no,n/a,Temporarily_stopped,yes,Erratic,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789299?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548669432556.jpg,-0.35919,38.76717333,410.2,2.9
Tana River,WRI,Al-Amin Moju,2015/2016,MTAP II,Danida,"Scmp Review.Planting 5,000 Trees.Construction Of 2 Sand  Dams At Boka Ben and Lagha Dele.Carry Out Exchange Tour T O Mau",water_resources,catchment_management,n/a,n/a,n/a,yes,42583,no,n/a,Partially_operational,yes,n/a,Fair,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789302?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548671767307.jpg,-0.33435,38.77942667,384.7,3.1
Tana River,WRI,Al-Amin Moju,2015/2016,MTAP II,Danida,"Scmp Review.Planting 5,000 Trees.Construction Of 2 Sand  Dams At Boka Ben and Lagha Dele.Carry Out Exchange Tour T O Mau",water_resources,catchment_management,n/a,n/a,n/a,yes,42614,yes,Good,Operational,yes,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789305?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548675769302.jpg,-0.342431667,38.78267333,376.7,3.3
Tana River,RIP,Kamaguru Primary School,2013/2014,MTAP I,Danida,"3No. Two Door Vip Latrines, 920 Lts Handwashing Tank and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41395,no,n/a,Temporarily_stopped,yes,n/a,Poor,Fair,n/a,n/a,n/a,60,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10789307?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548678664429.jpg,-0.301708333,38.88545833,311.2,2.7
Tana River,RIP,Kamaguru Primary School,2013/2014,MTAP I,Danida,"3No. Two Door Vip Latrines, 920 Lts Handwashing Tank and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41395,no,n/a,Temporarily_stopped,yes,n/a,Fair,Fair,n/a,n/a,n/a,60,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10789308?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548679138049.jpg,-0.301715,38.88508667,304.3,3.3
Tana River,RIP,Kamaguru Primary School,2013/2014,MTAP I,Danida,"3No. Two Door Vip Latrines, 920 Lts Handwashing Tank and Branding",water_supply,storage_tank,MTAP I,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.302715,38.88506333,339.3,3.3
Tana River,RIP,Bangali Primary School,2013/2014,MTAP I,Danida,"4No. Pvc 10,000 Lts Tank , Gutters, Handwashing Buckets and Branding",water_supply,rainwater_harvesting,storage_tank_capacity,n/a,n/a,yes,41395,n/a,n/a,Non_operational,yes,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789311?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548685838555.jpg,-0.726595,39.01780667,376.4,3.4
Tana River,RIP,Bangali Primary School,2013/2014,MTAP I,Danida,"4No. Pvc 10,000 Lts Tank , Gutters, Handwashing Buckets and Branding",water_supply,rainwater_harvesting,storage_tank_capacity,n/a,n/a,yes,41395,n/a,n/a,Non_operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789312?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548686071706.jpg,-0.726388333,39.01778167,382.4,2.9
Tana River,RIP,Bangali Primary School,2013/2014,MTAP I,Danida,"4No. Pvc 10,000 Lts Tank , Gutters, Handwashing Buckets and Branding",water_supply,rainwater_harvesting,storage_tank_capacity,n/a,n/a,yes,41760,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10789376?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548687235712.jpg,-0.726841667,39.01844667,395,3.3
Tana River,RIP,Bangali Primary School,2013/2014,MTAP I,Danida,"4No. Pvc 10,000 Lts Tank , Gutters, Handwashing Buckets and Branding",water_supply,rainwater_harvesting,storage_tank_capacity,n/a,n/a,yes,41395,n/a,n/a,Non_operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10790250?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548686546453.jpg,-0.726845,39.01850167,383.6,3.3
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,43101,n/a,n/a,Temporarily_stopped,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10790303?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548666361785.jpg,-1.169985111,36.81487913,1730.049194,8
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,36161,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10790304?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548669056844.jpg,-1.171944946,36.82286887,1696.681396,8
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,32568,n/a,n/a,Operational,no,n/a,Good,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10790305?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548669329873.jpg,-1.172036728,36.82257514,1686.177246,6
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,36557,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10790308?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548669468676.jpg,-1.17211954,36.82238902,1688.282593,8
Kiambu,UIP,Indian Burzar Water Project,2014/2015,UPC,KfW,"10 YT, 4572 M pipe, 150 Consumer Meters, 1 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,43191,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10790309?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548669685621.jpg,-1.172039573,36.82225085,1693.803833,6
