county,investment_window,project,year_of_completion,programme,funding_source,brief,category,investment_class,investment_type/water_supply,investment_type/sanitation,investment_type/water_resources,investment_exists_group/other_data/completed,investment_exists_group/other_data/date_completed,investment_exists_group/investment/branded,investment_exists_group/investment/branding_condition,investment_exists_group/sustainability/operational_status,sustainability/investment_needs_major_repair,investment_exists_group/sustainability/reliability,investment_exists_group/sustainability/condition_of_facility,investment_exists_group/sustainability/quality_of_work,investment_exists_group/sustainability/revenue_collected,sustainability/operations_responsibility,impact_and_gesi/operations_responsibility_GESI,impact_and_gesi/Number_of_people_beneficiaries_inc_children,investment_exists_group/impact_and_gesi/facility_hygiene_level,impact_and_gesi/functional_handwashing_facility,investment_exists_group/impact_and_gesi/water_quantity,investment_exists_group/impact_and_gesi/water_quality,investment_exists_group/impact_and_gesi/service_reliability,impact_and_gesi/service_reliability_hours_per_day,impact_and_gesi/service_reliability_days_per_month,impact_and_gesi/service_reliability_months_per_year,impact_and_gesi/facility_provisional_to/Disability,impact_and_gesi/facility_provisional_to/Gender,impact_and_gesi/facility_provisional_to/Age,investment_exists_group/Facility_picture,_GPS_location_latitude,_GPS_location_longitude,_GPS_location_altitude,_GPS_location_precision
Tharaka Nithi,UIP,Nithi Household Sanitation Project,2017/2018,UBSUP,KfW / The Gates Foundation,300 Toilets; 1 No. DTF,sanitation,household_sanitation,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,42767,yes,Good,Operational,no,n/a,Fair,Good,n/a,n/a,n/a,12,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10851416?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549356059186.jpg,-0.32981937,37.64958791,1430,5
Tharaka Nithi,UIP,Nithi Household Sanitation Project,2017/2018,UBSUP,KfW / The Gates Foundation,300 Toilets; 1 No. DTF,sanitation,household_sanitation,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,42767,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,8,Good,yes,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10851419?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549356738492.jpg,-0.3297554,37.64983842,1401,6
Tharaka Nithi,UIP,Nithi Household Sanitation Project,2017/2018,UBSUP,KfW / The Gates Foundation,300 Toilets; 1 No. DTF,sanitation,household_sanitation,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,42767,yes,Fair,Operational,no,n/a,Fair,Good,n/a,n/a,n/a,4,Fair,yes,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,TRUE,http://classic.ona.io/api/v1/files/10851420?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549357131327.jpg,-0.32922188,37.6500698,1415,4
Tharaka Nithi,UIP,Nithi Household Sanitation Project,2017/2018,UBSUP,KfW / The Gates Foundation,300 Toilets; 1 No. DTF,sanitation,household_sanitation,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,42767,yes,Fair,Operational,no,n/a,Good,Fair,n/a,n/a,n/a,1,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,TRUE,http://classic.ona.io/api/v1/files/10851422?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549357450752.jpg,-0.32940546,37.6502042,1429,6
Tharaka Nithi,UIP,Nithi Household Sanitation Project,2017/2018,UBSUP,KfW / The Gates Foundation,300 Toilets; 1 No. DTF,sanitation,household_sanitation,n/a,cistern_flush_squatting,cistern_flush_squatting,yes,42767,yes,Fair,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,3,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,TRUE,http://classic.ona.io/api/v1/files/10851424?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549357786113.jpg,-0.32942365,37.6503718,1420,3
Tharaka Nithi,WRI,Mt. Kenya east / chuka CFA,2017/2018,IFAD,IFAD,"Capacity building, Forest protection, Report preparation/supervision. Forest rehabilitation (25Ha)
",water_resources,catchment_management,n/a,n/a,n/a,yes,42767,no,n/a,Operational,no,n/a,Fair,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10851426?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549363721149.jpg,-0.33920979,37.60554517,1537,4
Tharaka Nithi,WRI,Ruguti WRUA,2017/2018,IFAD,IFAD,"Rain Water harvesting - Water pans, Report preparation. Riparian land conservation (10,000 Seedlings)
Catchment  protection,  (80 gabions and 6 water pans) .Riparian land marking and pegging, Abstraction and Pollution survey, 
monitoring and evaluation.

",water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,42767,no,n/a,Operational,no,Seasonal,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Limited,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10852637?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549373427322.jpg,-0.418621667,37.73603333,1105.1,5.4
Tharaka Nithi,WRI,Ruguti WRUA,2017/2018,IFAD,IFAD,"Rain Water harvesting - Water pans, Report preparation. Riparian land conservation (10,000 Seedlings)
Catchment  protection,  (80 gabions and 6 water pans) .Riparian land marking and pegging, Abstraction and Pollution survey, 
monitoring and evaluation.

",water_resources,catchment_management,n/a,n/a,n/a,yes,42767,no,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10852964?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549377144580.jpg,-0.349843333,37.86916167,686.5,4.9
Tharaka Nithi,WRI,North Mara WRUA,2017/2018,IFAD,IFAD,"Promote roof water harvesting ( 6 tanks). Final report preparation. Promote roof water harvesting ( 6 tanks)
Conduct baseline survey,  Abstraction and Pollution survey, Conservation of riparian zone , (5km- 15000 seedlings)
Establishment of tree nursery ( 40,000 seedlings)

",water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,42767,yes,Good,Operational,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Limited,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10853396?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549351166988.jpg,-0.221523333,37.6941,1285.2,5.8
Tharaka Nithi,WRI,North Mara WRUA,2017/2018,IFAD,IFAD,"Promote roof water harvesting ( 6 tanks). Final report preparation. Promote roof water harvesting ( 6 tanks)
Conduct baseline survey,  Abstraction and Pollution survey, Conservation of riparian zone , (5km- 15000 seedlings)
Establishment of tree nursery ( 40,000 seedlings)

",water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,42767,yes,Good,Operational,no,Regular,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Limited,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10853418?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1549361686424.jpg,-0.265851667,37.750115,1124.5,5.6
